country,pixel_iou,pixel_precision,pixel_recall,object_precision,object_recall,object_f1
austria,0.9743,0.9829,0.9911,0.5937,0.2739,0.3749
belgium,0.9778,0.9853,0.9923,0.7422,0.4001,0.5199
cambodia,0.9304,0.9562,0.9718,0.4282,0.0600,0.1053
corsica,0.9835,0.9900,0.9933,0.7301,0.4626,0.5664
croatia,0.9753,0.9841,0.9909,0.6312,0.3100,0.4158
denmark,0.9924,0.9955,0.9969,0.7897,0.5802,0.6689
estonia,0.9926,0.9955,0.9971,0.7644,0.5687,0.6522
finland,0.9873,0.9919,0.9953,0.7277,0.4360,0.5453
france,0.9888,0.9927,0.9961,0.6892,0.3807,0.4905
germany,0.9928,0.9955,0.9973,0.7000,0.4455,0.5444
latvia,0.9916,0.9949,0.9967,0.7679,0.5508,0.6415
lithuania,0.9882,0.9927,0.9954,0.7211,0.4442,0.5498
luxembourg,0.9781,0.9851,0.9928,0.5494,0.2011,0.2944
netherlands,0.9848,0.9905,0.9942,0.7612,0.4748,0.5848
portugal,0.9551,0.9716,0.9825,0.6365,0.2820,0.3909
slovakia,0.9959,0.9975,0.9984,0.7575,0.6697,0.7109
slovenia,0.9588,0.9738,0.9842,0.6139,0.3617,0.4552
south_africa,0.9921,0.9949,0.9972,0.6671,0.3780,0.4825
spain,0.9678,0.9785,0.9889,0.5730,0.2088,0.3061
sweden,0.9905,0.9941,0.9963,0.7449,0.4741,0.5794
vietnam,0.9161,0.9474,0.9653,0.5393,0.1924,0.2837
